name_en	name_mm
Nat Sin (No 2 Main Road)	နတ်စင် (အမှတ်(၂)လမ်းမ)
Ball Lone Kwin Htate	ဘောလုံးကွင်းထိပ်
Lay Htaut Kan Site Kwae (No 2 Road)	လေးထောင့်ကန်ဆိုက်ကွေ့ (အမှတ်(၂)လမ်း)
Gate Haung (South Dagon)	ဂိတ်ဟောင်း (တ/ဒဂုံ)
Sal Zay (TharKayTa)	၁၀ စျေး (သာကေတ)
MiBa Yate	မိဘရိပ်
Sae-hnat-lone-Tan (YanKin Road)	၁၂ လုံးတန်း (ရန်ကင်းလမ်း)
Tha Ma Sine (Lay Htaut Kan)	သမဆိုင် (လေးထောင့်ကန်)
Mote Pho (No 2 Road)	မုန့်ဖို (အမှတ်(၂)လမ်း)
Palae Ngar	ပုလဲငါး
Kyaung Shae (No 2 Road)	ကျောင်းရှေ့ (အမှတ်(၂)လမ်း)
Nyaung 2 Pin	ညောင်(၂)ပင်
Kone Padaythar (North Dagon)	ကုန်ပဒေသာ (မ/ဒဂုံ)
Ywar Thar Gyi Lai Sin Yone	ရွာသာကြီးလိုင်စင်ရုံး
Nandawun Zay	နန္ဒဝန်စျေး
U Htun Myat	ဦးထွန်းမြတ်
Sae-Hnit Thama	(၁၂) သမ
Kwin Sin Kyaung	ကွင်းဆင်းကျောင်း
Sanpya Zay (Lay Htaut Kan Road)	စံပြစျေး (လေးထောင့်ကန်လမ်း)
West Yangon Technology University	အနောက်ပိုင်းနည်းပညာတက္ကသိုလ်
Taung Myout Lan Sone (No 2 Road)	တောင်မြောက်လမ်းဆုံ (အမှတ်(၂)လမ်း)
Yuzan A Wine Htake (ShweLi Road-Dagon SateKan) Container Gate (Old Name)	ယုဇန အဝိုင်းထိပ် (ရွှေလီလမ်း - ဒဂုံဆိပ်ကမ်း) ကွန်တိန်နာဂိတ် (နာမည်ဟောင်း)
Nawaday (KaBarAye Road)	နဝဒေး (ကမ္ဘာအေးလမ်း)
Dhamar Yone (ShuKhinThar Road)	ဓမ္မာရုံ (ရှုခင်းသာလမ်း)
Container Gate (Dagon SateKan)	ကွန်တိန်နာဂိတ် (ဒဂုံဆိပ်ကမ်း)
Tayar-Chauk Tat Yin	(၁၀၆) တပ်ရင်း
Lan Wa	လမ်းဝ
Yadanar Lan Sone (Dagon SateKan)	ရတနာလမ်းဆုံ (ဒဂုံဆိပ်ကမ်း)
Thein Kyaung Lan Sone (AyarWunSanSat Road)	သိမ်ကျောင်းလမ်းဆုံ (ဧရာဝဏ်ဆက်စပ်လမ်း)
Tit Gate	(၁) ဂိတ်
Pale Kan	ပုလဲကန်
B.M Gate (South Dagon)	ဘီအမ်ဂိတ် (တ/ဒဂုံ)
Japan Lan	ဂျပန်လမ်း
Min Kun Zay	မင်းကွန်းစျေး
Htan Pin Kone	ထန်းပင်ကုန်း
Tayar-Chauk (KhaYayPin Road)	၁၀၆ (ခရေပင်လမ်း)
Tayar-Chauk (KaBarAye)	၁၀၆ (ကမ္ဘာအေး)
Zay Lay (South Dagon)	စျေးလေး (တ/ဒဂုံ)
Baho Naing Ngan Yae	ဗဟိုနိုင်ငံရေး
BawDe Yone	ဘော်ဒီရုံ
Sae-Hnit Lan	(၁၂) လမ်း
Taung Myout Lan Sone (MyohOo Pagoda)	တောင်မြောက်လမ်းဆုံ (မြို့ဦးစေတီ)
Nilar	နီလာ
SatMhu Tit Kwae	စက်မှု (၁) ကွေ့
Daewoo NarYeeSin	ဒေဝူးနာရီစင်
Lay-sae-lay (MinYeKyawSwar Road)	၄၄ (မင်းရဲကျော်စွာလမ်း)
Nwe Khwe	နွယ်ခွေ
Tit Yat Kwat	(၁) ရပ်ကွက်
Nwar Chan	နွားခြံ
Tayar-Chouk Lan Sone	(၁၀၆) လမ်းဆုံ
Tayar-Chouk Lan Sone (YM)	(၁၀၆) လမ်းဆုံ (YM)
Gate Haung	ဂိတ်ဟောင်း
Danyin Gone Lan Sone (ShwePyiThar)	ဒညင်းကုန်းလမ်းဆုံ (ရွှေပြည်သာ)
Danyin Gone Lan Sone (KhaYayPin Road)	ဒညင်းကုန်းလမ်းဆုံ (ခရေပင်လမ်း)
Sae-Lay Lan Sone	(၁၄) လမ်းဆုံ
Htan Chauk Pin	ထန်းခြောက်ပင်
Nawarat	နဝရတ်
Nawinkyar	နဝင်းကြား
Kwin Kyaung	ကွင်းကျောင်း
Thiri Mingalar Zay	သီရိမင်္ဂလာစျေး
Chan Mar Phee	ချန်မာဖီ
Sar Taik (Ahlone)	စာတိုက် (အလုံ)
Htaw Li Kwae	ထော်လီကွေ့
Thit Taw (No 2 Main Road)	သစ်တော (အမှတ်(၂)လမ်းမကြီး)
Jama Khar Nar	ဂျမခါနာ
Kyone Gyi Gate	ကျုံးကြီးဂိတ်
Sein Gyun	စိန်ဂျွန်း
Kili	ကီလီ
Maw Tin	မော်တင်
Kali	ကလီ
Sanpya	စံပြ
Latha (Latha Road)	လသာ (လသာလမ်း)
Latha (KanNar Road)	လသာ (ကမ်းနားလမ်း)
Maung Khaing	မောင်ခိုင်
Nyaung Pin Lay Zay	ညောင်ပင်လေးစျေး
Sae-ngar Lan/ Nyaung Pin Lay Zay	(၁၅) လမ်း / ညောင်ပင်လေးစျေး
Sae-ngar Lan	(၁၅) လမ်း
Chauk Htat Yone	(၆) ထပ်ရုံး
Kone Zay Tan (AhNawYaHtar)	ကုန်စျေးတန်း (အနော်ရထာ)
Lan Thone Sae	လမ်း(၃၀)
Sule (Myodaw Khan Ma)	ဆူးလေ (မြို့တော်ခန်းမ)
Yoke Shin Yone (North OakKaLar)	ရုပ်ရှင်ရုံ (မ/ဥက္ကာလာ)
Bar Road (AhNawYaHtar)	ဘားလမ်း (အနော်ရထာ)
Bokalay Zay (KoneThal Road)	ဘိုကလေးစျေး (ကုန်သည်လမ်း)
Bokalay Zay (KanNar Road)	ဘိုကလေးစျေး (ကမ်းနားလမ်း)
Pansodan (KoneThal Road)	ပန်းဆိုးတန်း (ကုန်သည်လမ်း)
Pansodan (BoGyoke Road)	ပန်းဆိုးတန်း (ဗိုလ်ချုပ်လမ်း)
Pansodan (Seikkanthar Road)	ပန်းဆိုးတန်း (ဆိပ်ကမ်းသာလမ်း)
Sule (BanDuLa Pan Chan)	ဆူးလေ (ဗန္ဓုလပန်းခြံ)
Kyel Ngar Pwint (TheinPhyu Road)	ကြယ်ငါးပွင့် (သိမ်ဖြူလမ်း)
Lan Ngar Sae (KoneThal Road)	လမ်း (၅၀) (ကုန်သည်လမ်း)
Lay-sae-chauk Road (BoGyoke Road)	၄၆ လမ်း (ဗိုလ်ချုပ်လမ်း)
Lay-sae-chauk Road (ANawYaHtar Road)	၄၆ လမ်း (အနော်ရထာလမ်း)
Seint Paul	စိန့်ပေါလ်
Si Saing (BoTaHtaung Payar Road)	ဆီဆိုင် (ဗိုလ်တစ်ထောင်ဘုရားလမ်း)
Ye Sa Khan	ရဲစခန်း
Pansodan (AhNawYaHtar)	ပန်းဆိုးတန်း (အနော်ရထာ)
Sar Taik (KyiMyintDaing)	စာတိုက် (ကြည့်မြင်တိုင်)
Baho Yone	ဗဟိုရုံး
Botahtaung Paya	ဗိုလ်တစ်ထောင်ဘုရား
Mandalay Lan	မန္တလေးလမ်း
Pansodan (BanDuLa Road)	ပန်းဆိုးတန်း (ဗန္ဓုလလမ်း)
Lay-sae-chauk Road (MaHarBanDuLa Road)	၄၆လမ်း (မဟာဗန္ဓုလလမ်း)
Theit Pan	သိပ္ပံ
Thein Phyu Zay	သိမ်ဖြူစျေး
Kyaung Lan (Lay Htaut Kan)	ကျောင်းလမ်း (လေးထောင့်ကန်)
Masalar Set (TaungNyunt)	မဆလာစက် (တောင်ညွှန့်)
Mingalar Mon Zay (SatYone Road)	မင်္ဂလာမွန်စျေး (စက်ရုံလမ်း)
Mingalar Mon Zay	မင်္ဂလာမွန်စျေး
Mingalar Zay/ Layy Lan	မင်္ဂလာစျေး/ (၄)လမ်း
Sar Taik (TheinPhyu)	စာတိုက် (သိမ်ဖြူ)
Say Yon Gyi	ဆေးရုံကြီး
Thayet Taw Kyaung	သရက်တောကျောင်း
Bogyoke Zay	ဗိုလ်ချုပ်စျေး
Sauk Lote Yae (PyiDaungSu Road)	ဆောက်လုပ်ရေး (ပြည်ထောင်စုလမ်း)
Youk Lan	ယောက်လမ်း
Bago Kalat	ပဲခူးကလပ်
Halpin	ဟယ်(လ်)ပင်
Taung Phat Moke	တောင်ဘက်မုခ်
Kyauk Taing (TharKayTa-MinNanDar)	ကျောက်တိုင် (သာကေတ မင်းနန္ဒာ)
Kyauk Taing (TharKayTa-AYarWun)	ကျောက်တိုင် (သာကေတ ဧရာဝဏ်)
Ashae Phat Moke	အရှေ့ဘက်မုခ်
Myauk Phat Moke	မြောက်ဘက်မုခ်
Bahan Thone Lan	ဗဟန်း (၃)လမ်း
Yae Khae Saing (KabarAye)	ရေခဲဆိုင် (ကမ္ဘာအေး)
Saing Thit (South Dagon)	ဆိုင်သစ် (တ/ဒဂုံ)
Nat Mauk Kyaung	နတ်မောက်ကျောင်း
Jamar (BoGyoke)	ဂျမား (ဗိုလ်ချုပ်)
Say Yone	ဆေးရုံ
Link Lan	လင့်လမ်း
Oak Lan	အုတ်လမ်း
Bandar Pin	ဗန်ဒါပင်
Shwe Gon Daing (Kabar Aye Paya)	ရွှေဂုံတိုင် (ကမ္ဘာအေးဘုရား)
Chauk Htat Kyee	(၆) ထပ်ကြီး
Ngar Htat Kyee	(၅) ထပ်ကြီး
Byaing Yae Oh Sin	ဗျိုင်းရေအိုးစင်
Home Lan	ဟုမ်းလမ်း
Thal Kwin	သဲကွင်း
Nya Zay (Upper Kyee Myin Daing Road)	ညစျေး (အထက်ကြည့်မြင်တိုင်လမ်း)
Sar Taik (PaZunDaung)	စာတိုက် (ပုဇွန်တောင်)
Koe Htat Kyee	(၉) ထပ်ကြီး
Butar (Lay Htaut Kan)	ဘူတာ (လေးထောင့်ကန်)
Kyee Myin Daing Butar	ကြည့်မြင်တိုင်ဘူတာ
Shan Lan	ရှမ်းလမ်း
Hantharwaddy Gate Haung	ဟံသာဝတီဂိတ်ဟောင်း
Mahar Myaing	မဟာမြိုင်
Myayni (Dagon SateKan)	မြေနီ (ဒဂုံဆိပ်ကမ်း)
Myaynigone (BarKaYar)	မြေနီကုန်း (ဗားကရာ)
Myayni (ThanLwin Road)	မြေနီ (သံလွင်လမ်း)
Myaynigone (Pyay Road)	မြေနီကုန်း (ပြည်လမ်း)
Shwe Man	ရွှေမန်း
Wizaya Plaza	ဝိဇယပလာဇာ
Nat Sin (MaungMaKanKanThar Road)	နတ်စင် (မောင်းမကန်ကမ်းသာလမ်း)
Nat Sin Lan (Upper KyiMyintDine)	နတ်စင်လမ်း (အထက်ကြည့်မြင်တိုင်)
Nat Sin Lan (KanNar Lan)	နတ်စင်လမ်း (ကမ်းနားလမ်း)
B.R.B	ဘီ အာ ဘီ
Hledan (KhineShweWar)	လှည်းတန်း (ခိုင်ရွှေဝါ)
Hledan	လှည်းတန်း
Hledan Zay	လှည်းတန်းစျေး
Kannar Zay	ကမ်းနားစျေး
Khaing Shwe Wah (ShuKhinThar MyohPat Road)	ခိုင်ရွှေဝါ (ရှုခင်းသာမြို့ပတ်လမ်း)
Khaing Shwe Wah (MinYeKyawSwar Road)	ခိုင်ရွှေဝါ (မင်းရဲကျော်စွာလမ်း)
Kyaung Shae (Tamwe)	ကျောင်းရှေ့ (တာမွေ)
Pyi Yeik Mon	ပြည်ရိပ်မွန်
Salin Kwin	စလင်းကွင်း
Sinmalite	ဆင်မလိုက်
Ta Kaung Road	တကောင်းလမ်း
Thinbaw Kyin (MinNanDar)	သင်္ဘောကျင်း (မင်းနန္ဒာ)
Thinbaw Kyin (YaMoneNar Road)	သင်္ဘောကျင်း (ယမုံနာလမ်း)
Yae Kyaung	ရေကြောင်း
Ye Wun	ရဲဝန်း
Kyaung Shae Dhamar Yone (KaMarYut)	ကျောင်းရှေ့ဓမ္မာရုံ (ကမာရွတ်)
Saik Pyoe Yay	စိုက်ပျိုးရေး
Har Mit Tic	ဟာမစ်တစ်
Kokkaing/ Kyaung Shae	ကုက္ကိုင်း/ ကျောင်းရှေ့
Yankin Zay	ရန်ကင်းစျေး
Awine Lay	အဝိုင်းလေး
Hmat Tan Yone	မှတ်တမ်းရုံး
Kalar Zay	ကုလားစျေး
Kyar Hmat Taing (North Dagon)	ကြားမှတ်တိုင် (မ/ဒဂုံ)
Kyar Hmat Taing (YanKin)	ကြားမှတ်တိုင် (ရန်ကင်း)
Lan Sone (South Dagon)	လမ်းဆုံ (တ/ဒဂုံ)
Lan Sone	လမ်းဆုံ
Min Lan (U Chit Maung)	မင်းလမ်း (ဦးချစ်မောင်)
Mya Lan	မြလမ်း
Zay Kwae (Gawt TaLit)	စျေးကွေ့ (ဂွတ္တလစ်)
Athin Taik (ThinGanKyun)	အသင်းတိုက် (သင်္ဃန်းကျွန်း)
Athin Taik (SatSan)	အသင်းတိုက် (စက်ဆန်း)
Kaw Set	ကော်စက်
Khap Chee Yar	ခပ်ချီးယား
Than Lan (Tamwe Lay)	သံလမ်း (တာမွေလေး)
Than Lan (Dagon SateKan)	သံလမ်း (ဒဂုံဆိပ်ကမ်း)
Zawana Gate	ဇဝနဂိတ်
Zawana (ThuMinGaLar)	ဇဝန (သုမင်္ဂလာ)
Zawana (Lay Htaut Kan)	ဇဝန (လေးထောင့်ကန်)
A.B.C	အေဘီစီ
Arthawka	အာသောက
Aung Mingalar	အောင်မင်္ဂလာ
Kyauk Myaung Zay	ကျောက်မြောင်းစျေး
Tamwe Ah Khun Lot Zay	တာမွေအခွန်လွတ်စျေး
AhthawKa (ThamainBaRan Road)	အသောက (သမိန်ဗရမ်းလမ်း)
Tamwe Plaza	တာမွေပလာဇာ
Tamwe Zay	တာမွေစျေး
Thida Oo	သီတာဦး
Nan Thida (KanNar Road)	နန်းသီတာ (ကမ်းနားလမ်း)
Yone Lay	ရုံးလေး
Zay Lay (ThanThuMar)	စျေးလေး (သံသုမာ)
Zay Lay (BaHtoo Road)	စျေးလေး (ဗထူးလမ်း)
Anawmar (AyarWun)	အနော်မာ (ဧရာဝဏ်)
Anawmar (ZinKaMar)	အနော်မာ (ဇင်ဂမာ)
Kyauk Taing (Zoo)	ကျောက်တိုင် (တိရိစ္ဆာန်ဥယျာဉ်)
Kyauk Taw Gyee	ကျောက်တော်ကြီး
Myayni (MinNanDar Road)	မြေနီ (မင်းနန္ဒာလမ်း)
Myayni Lan Kwae	မြေနီလမ်းကွေ့
Tat Phwet (MinNanDar Road)	တပ်ဖွဲ့ (မင်းနန္ဒာလမ်း)
Bokalay Zay (MaHarBanDuLa Road)	ဘိုကလေးစျေး (မဟာဗန္ဓုလလမ်း)
Botahtaung Zay	ဗိုလ်တစ်ထောင်စျေး
Gandee (AhNawYaHtar)	ဂန္ဒီ (အနော်ရထာ)
Gandee (MaHarBanDuLa Road)	ဂန္ဒီ (မဟာဗန္ဓုလလမ်း)
Gandee Say Yone (KoneThal Road)	ဂန္ဒီဆေးရုံ (ကုန်သည်လမ်း)
Lin Sadaung	လင်းစဒေါင်း
Thida Road	သီတာလမ်း
Thida Seik (Lower PaZunDaung Road)	သီတာဆိပ် (အောက်ပုဇွန်ထောင်လမ်း)
Dhamar Yone (North OakKaLar)	ဓမ္မာရုံ (မ/ဥက္ကာလာ)
Gate Haung (Dhamar Yone) Lal Yar	ဂိတ်ဟောင်း(ဓမ္မာရုံ) လယ်ယာ
Man Pyae (YaMoneNar Road)	မာန်ပြေ (ယမုံနာလမ်း)
Shukhinthar	ရှုခင်းသာ
Thone Gate Haung (MyinThawThar Road)	၃ဂိတ်ဟောင်း (မြင်တော်သာလမ်း)
Koe Lan	(၉) လမ်း
Mingalar Zay (BaNyar DaLa Road)	မင်္ဂလာစျေး (ဗညားဒလလမ်း)
Nyaung Tan	ညောင်တန်း
Pazundaung Zay	ပုဇွန်တောင်စျေး
Warso	ဝါဆို
Yuzana Plaza	ယုဇနပလာဇာ
Yuzana CityMart Gate Yin	ယုဇနစီးတီးမတ်ဂိတ်ရင်း
Nal Myay Yon (MyinThawThar Road)	နယ်မြေရုံး (မြင်တော်သာလမ်း)
Ashae Kyar	အရှေ့ကြား
Khin Ma Ma Kyar	ခင်မမကြား
Si Saing (ShweLi)	ဆီဆိုင် (ရွှေလီ)
Si Saing Kwae	ဆီဆိုင်ကွေ့
Thadar Yon	သဒ္ဒါရုံ
Thinbaw Kyin (Dagon SateKan)	သင်္ဘောကျင်း (ဒဂုံဆိပ်ကမ်း)
Thinbaw Kyin (BaYintNaung Road)	သင်္ဘောကျင်း (ဘုရင့်နောင်လမ်း)
Wet Su (MinNanDar)	ဝက်စု (မင်းနန္ဒာ)
Yan Aung	ရန်အောင်
Yan Pyay (MyinThawThar Road)	ရန်ပြေ (မြင်တော်သာလမ်း)
Khan Ma	ခန်းမ
Kyel Ngar Pwint (AungThuKha)	ကြယ်ငါးပွင့် (အောင်သုခ)
Kyel Ngar Pwint (No 6 Road)	ကြယ်ငါးပွင့် (အမှတ်(၆)လမ်း)
Lay-sae-koe Gate Haung (Yadanar Road) TineYinThar Village	(၄၉) ဂိတ်ဟောင်း (ရတနာလမ်း) တိုင်းရင်းသားကျေးရွာ
Lay-sae-koe Asane Gate Haung (ShuKhinThar MyohPat Road)	၄၉ အစိမ်းဂိတ်ဟောင်း (ရှုခင်းသာ မြို့ပတ်လမ်း)
Mee Thwe Saing	မီးသွေးဆိုင်
Ngar Kwae	(၅) ကွေ့
Dat Si Saing (TharKayTa)	ဓာတ်ဆီဆိုင် (သာကေတ)
Si Saing (TharKayTa)	ဆီဆိုင် (သာကေတ)
Waizayantar (Khun Zay)	ဝေဇယန္တာ (၇စျေး)
Waizayantar (ShuKhinThar EainYar)	ဝေဇယန္တာ (ရှုခင်းသာအိမ်ယာ)
Yoke Shin Yone (MyinThawTar Road)	ရုပ်ရှင်ရုံ (မြင်တော်သာလမ်း)
Yoke Shin Yone (ZinGaMar)	ရုပ်ရှင်ရုံ (ဇင်ဂမာ)
ThanMaTa Yoke Shin Yone (Yout Road)	သမ္မတရုပ်ရှင်ရုံ (ယောက်လမ်း)
Yoke Shin Yone AHaung	ရုပ်ရှင်ရုံ အဟောင်း
Sae-Thone Gate	(၁၃) ဂိတ်
Gate Wa (TharKayTa)	ဂိတ်ဝ (သာကေတ)
Lat Hmat Gate	လက်မှတ်ဂိတ်
Khun Zay (MyinThawThar Road)	၇စျေး (မြင်တော်သာလမ်း)
Kyan Mar Yae (North Dagon)	ကျန်းမာရေး (မ/ဒဂုံ)
Kyan Mar Yae (South Dagon)	ကျန်းမာရေး (တ/ဒဂုံ)
Kyaung Kwae (North Dagon)	ကျောင်းကွေ့ (မ/ဒဂုံ)
Kyaung Kwae (AyarWun)	ကျောင်းကွေ့ (ဧရာဝဏ်)
Htuu Par Yone (ZinGaMar)	ထူပါရုံ (ဇင်ဂမာ)
Myayni (Ayar Wun)	မြေနီ (ဧရာဝဏ်)
Paya Shae (MyinThawTar Road)	ဘုရားရှေ့ (မြင်တော်သာလမ်း)
Kyaik Khouk Paya Shae	ကျိုက်ခေါက်ဘုရားရှေ့
Shit Gate	၈ ဂိတ်
Tit Zay Kwae (MinNanDar Road)	၁ စျေးကွေ့ (မင်းနန္ဒာလမ်း)
Awine (DU)	အဝိုင်း (DU)
Awine	အဝိုင်း
Thama College	သမကောလိပ်
Lelyar Gate Yinn	လယ်ယာ (ဂိတ်ရင်း)
Sauk Lote Yae (WYTU)	ဆောက်လုပ်ရေး (WYTU)
Sauk Lote Yae (Thanlyin ChinKat Road)	ဆောက်လုပ်ရေး (သန်လျင်ချဉ်းကပ်လမ်း)
Sauk Lote Yae (Kamar Kyi Road)	ဆောက်လုပ်ရေး (ကမာကြည်လမ်း)
Sauk Lote Yae (Yangon-Pathein)	ဆောက်လုပ်ရေး (ရန်ကုန်-ပုသိမ်)
Sauk Lote Yae (YBS 82)	ဆောက်လုပ်ရေး (YBS 82)
Sauk Lote Yae (Myaung Ta Kar)	ဆောက်လုပ်ရေး (မြောင်းတကာ)
Tadar Htate (South Dagon)	တံတားထိပ် (တ/ဒဂုံ)
Tadar Htate (TaPinShweHtee Road)	တံတားထိပ် (တပင်ရွှေထီးလမ်း)
Tayar-Shit Taung PaYar	၁၀၈ တောင်ဘုရား
Thaketa Awine (AyarWun)	သာကေတအဝိုင်း (ဧရာဝဏ်)
Asean	အာဆီယံ
Than Lan (Baho Road)	သံလမ်း (ဗဟိုလမ်း)
Than Lan (YanKin)	သံလမ်း (ရန်ကင်း)
Kyaung Lan (Hlaw Kar Road)	ကျောင်းလမ်း (လှော်ကားလမ်း)
Kyaung Lan (KyanSitThar Road)	ကျောင်းလမ်း (ကျန်စစ်သားလမ်း)
Paw San Hmwe	ပေါ်ဆန်းမွှေး
Su Paung	စုပေါင်း
Thuwunna Lan Sone (Waizayanar)	သုဝဏ္ဏလမ်းဆုံ (ဝေဇယန္တာ)
Aung Zay Ya	အောင်ဇေယျ
Bayint Naung	ဘုရင့်နောင်
Dote Hta WaDi	ဒုဋ္ဌဝတီ
Mee Don	မီးဒုံး
Min Din	မင်းဒင်
Ta Yar Yone	တရားရုံး
Thuwunna Zay	သုဝဏ္ဏစျေး
Daywadaha	ဒေဝဒဟ
Ar Nandar Paya	အာနန္ဒာဘုရား
Bawa Myint (ThinganKyun)	ဘဝမြင့် (သင်္ဃန်းကျွန်း)
Bawa Myint (Yadanar Road)	ဘဝမြင့် (ရတနာလမ်း)
B.O.C (ThinganKyun)	ဘီအိုစီ (သင်္ဃန်းကျွန်း)
B.O.C (HlaingTharYar)	ဘီအိုစီ (လှိုင်သာယာ)
Gate Haung	ဂိတ်ဟောင်း
Kalar Su	ကုလားစု
Kyaikkasan Lan Sone	ကျိုက္ကဆံလမ်းဆုံ
Lai Sin Yone (ThanThuMar Road)	လိုင်စင်ရုံး (သံသုမာလမ်း)
Lai Sin Yone (Yadanar Road)	လိုင်စင်ရုံး (ရတနာလမ်း)
Paya Lan (ThinganKyun)	ဘုရားလမ်း (သင်္ဃန်းကျွန်း)
Paya Lan (HlaingTharYar)	ဘုရားလမ်း (လှိုင်သာယာ)
Chan Aye Thwar Say	ချမ်းအေးသွားဆေး
Kar Gyi Gate (Nga Moe Yeik)	ကားကြီးဂိတ် (ငမိုးရိပ်)
Kar Gyi Gate (Hlaw Kar Road)	ကားကြီးဂိတ် (လှော်ကားလမ်း)
Sanpya Zay (ThuWaNa)	စံပြစျေး (သုဝဏ္ဏ)
Sanpya Zay Kwae	စံပြစျေးကွေ့
Waibula	ဝေဘူလ
Alo Taw Pyae (Yadanar Road)	အလိုတော်ပြည့် (ရတနာလမ်း)
Sauk Lote Yae (Pyay Road)	ဆောက်လုပ်ရေး (ပြည်လမ်း)
Sauk Lote Yae (AyarWunSanSat Road)	ဆောက်လုပ်ရေး (ဧရာဝဏ်ဆက်စပ်လမ်း)
Thit Sait	သစ်ဆိပ်
Set Hmu Zone Hnit (South Dagon)	စက်မှုဇုန် ၂ (တ/ဒဂုံ)
Thit Saing Kwae (SiiPin Road)	သစ်ဆိုင်ကွေ့ (စည်ပင်လမ်း)
Chauk-sae-ngar 	၆၅
Kyar Kan	ကြာကန်
Shwe Taung Kyar Lan	ရွှေတောင်ကြားလမ်း
Sittaung	စစ်တောင်း
Thein Kyaung	သိမ်ကျောင်း
Thitsar	သစ္စာ
Tadar Phyu (No 2 Main Road)	တံတားဖြူ (အမှတ်(၂)လမ်းမကြီး)
Tadar Phyu (HlaingTharYar)	တံတားဖြူ (လှိုင်သာယာ)
Taung Myauk Lan Sone	တောင်/မြောက်လမ်းဆုံ
Than Lan (AungZayYa Road)	သံလမ်း (အောင်ဇေယျလမ်း)
Than Lan (Insein)	သံလမ်း (အင်းစိန်)
Gate Haung	ဂိတ်ဟောင်း
Kone Padaythar (South Dagon)	ကုန်ပဒေသာ (တောင်ဒဂုံ)
Kone Padaythar (TaPinShweHtee)	ကုန်ပဒေသာ (တပင်ရွှေထီး)
Pan Chan (South Dagon)	ပန်းခြံ (တောင်ဒဂုံ)
