name_en	name_mm
Yauk Kaw	ယောက်ကော်
Hnit-sae Zay	(၂၀) စျေး
Hnit-sae Shit Ta Dar Htate	၂၈တံတားထိပ်
Kar Lay Gate (South Dagon)	ကားလေးဂိတ် (တ/ဒဂုံ)
Nha-Sal Kone Taik	၂၀ ကုန်တိုက်
Kone Taik	ကုန်တိုက်
Thapyay Nyo	သပြေညို
Kyan Mar Yae (PyiDaungSu Road)	ကျန်းမာရေး (ပြည်ထောင်စုလမ်း)
Kyan Mar Yae (HlaingTharYar)	ကျန်းမာရေး (လှိုင်သာယာ)
Ngar-sae Lay Tha Ma	(၅၄) သမ
Phone Gyi Kyaung Kwae	ဘုန်းကြီးကျောင်းကွေ့
Phone Gyi Kyaung Kwae (MaungMaKanKanThar Road)	ဘုန်းကြီးကျောင်းကွေ့ (မောင်းမကန်ကမ်းသာလမ်း)
Sae-shit Kwae (MaungMaKanKanThar Road)	၁၈ ကွေ့ (မောင်းမကန်ကမ်းသာလမ်း)
Sae-shit Kwae (SiiPin Road)	၁၈ ကွေ့ (စည်ပင်လမ်း)
Tadar Htate (PyiDaungSu Road)	တံတားထိပ် (ပြည်ထောင်စုလမ်း)
Awaiyar	အဝေရာ
Kun Yar Saing (South Dagon)	ကွမ်းယာဆိုင် (တောင်ဒဂုံ)
Kun Yar Saing (HlawKar)	ကွမ်းယာဆိုင် (လှော်ကား)
Ngar-sae-chauk Lan Sone	(၅၆) လမ်းဆုံ
Khun-Hnit-Sal/ Khun-Hnit-Sae Tit Zay (KyanSitThar Road)	၇၀/၇၁ စျေး (ကျန်စစ်သားလမ်း)
Ah Kyaw Tae (South Dagon)	အကြော်တဲ (တ/ဒဂုံ)
Ah Kyaw Tae (MaHarMyaing)	အကြော်တဲ (မဟာမြိုင်)
Kar Gyi Gate (Thar Kay Ta)	ကားကြီးဂိတ် (သာကေတ)
Kar Gyi Gate (Wai Bar Gi)	ကားကြီးဂိတ် (ဝေဘာဂီ)
Kyauk Lan (No 2 Main Road)	ကျောက်လမ်း (အမှတ်(၂)လမ်းမကြီး)
Kyauk Lan (Dagon SateKan)	ကျောက်လမ်း (ဒဂုံဆိပ်ကမ်း)
Say Yon Shae	ဆေးရုံရှေ့
U Tun Myat	ဦးထွန်းမြတ်
War Saing Kwae	ဝါးဆိုင်ကွေ့
Yone Shae (South Dagon)-PyiDaungSu Road	ရုံးရှေ့ (တောင်ဒဂုံ)-ပြည်ထောင်စုလမ်း
Yone Shae (North Dagon)	ရုံးရှေ့ (မ/ဒဂုံ)
Mya Nandar	မြနန္ဒာ
Yadanar Lan	ရတနာလမ်း
Oh Eain (BoGyoke Road)	အိုးအိမ် (ဗိုလ်ချုပ်လမ်း)
Oh Eain (No 3 Main Road)	အိုးအိမ် (အမှတ် (၃) လမ်းမကြီး)
Moke Oo (Yuzana Garden)	မုခ်ဦး (ယုဇနဥယျာဉ်)
Padauk Kwae (Kyun ShweWar Road)	ပိတောက်ကွေ့ (ကျွန်းရွှေဝါလမ်း)
Padauk Kwae (PoneNarMe Road)	ပိတောက်ကွေ့ (ပုဏ္ဍမီလမ်း)
Sae-Tit Lan (Yuzana)	၁၁ လမ်း (ယုဇန)
Nwe Thar Gi	နွယ်သာဂီ
May Dar Wi Lan Sone	မေဓာဝီလမ်းဆုံ
Mya Yadanar (North OakKaLar)	မြရတနာ (မ/ဥက္ကာလာ)
Oakkar	ဥက္ကာ
Yoke Shin Yone (Bago Road)	ရုပ်ရှင်ရုံ (ပဲခူးလမ်း)
Yone	ရုံး
Dhamar Yone (Shwe Pauk Kan)	ဓမ္မာရုံ (ရွှေပေါက်က္ကံ)
Sae-Ngar Dhamar Yone	၁၅ ဓမ္မာရုံ
Aung Mingalar A Way Pyay (Entrance)	အောင်မင်္ဂလာအဝေးပြေး (ဝင်ပေါက်)
Aung Mingalar A Way Pyay (Pa Wun Htake)	အောင်မင်္ဂလာအဝေးပြေး (ပ) ဝန်းထိပ်
Tat Htate	တပ်ထိပ်
Chauk Kwae (North OakKaLar)	၆ကွေ့ (မြောက်ဥက္ကာလာ)
Chauk Kwae (Wai Bar Ge)	၆ကွေ့ (ဝေဘာဂီ)
Kar Gyi Gate (Thone Khwa)	ကားကြီးဂိတ် (သုံးခွ)
Kar Gyi Gate (Thanlyin)	ကားကြီးဂိတ် (သန်လျင်)
Kar Gyi Gate (Shwe Pyi Thar)	ကားကြီးဂိတ် (ရွှေပြည်သာ)
Kyaung Lan (Wai Bargi Road)	ကျောင်းလမ်း (ဝေဘာဂီလမ်း)
Kyaung Lan (ThanLwin Road)	ကျောင်းလမ်း (သံလွင်လမ်း)
Sae-Khun Gate	၁၇ဂိတ်
Maw Kyun	မော်ကျွန်း
Mee Thet	မီးသတ်
Min Htoo Kyaw	မင်းထူးကျော်
Sal Myaung (Bago Road)	ဆည်မြောင်း (ပဲခူးလမ်း)
Sal Myaung (East Dagon)	ဆည်မြောင်း (ရှေ့ဒဂုံ)
Say Yon Kwae (Dagon SateKan)	ဆေးရုံကွေ့ (ဒဂုံဆိပ်ကမ်း)
Eindar	က္ကန္ဒာ
Gate Haung Kwae	ဂိတ်ဟောင်းကွေ.
Kan Tharyar (North OakKaLar)	ကန်သာယာ (မြောက်ဥက္ကာလာ)
Kan Tharyar (ShwePyiThar)	ကန်သာယာ (ရွှေပြည်သာ)
Kyaung Lan (North Dagon)	ကျောင်းလမ်း (မ/ဒဂုံ)
Kyaung Lan (University Avenue Road)	ကျောင်းလမ်း (တက္ကသိုလ်ရိပ်သာလမ်း)
Kyoe Tadar	ကြိုးတံတား
Myittar	မေတ္တာ
Ou Zanar	ဥဇ္ဇနာ
Sabei	စံပယ်
Thandar	သန္တာ
Thu Nandar	သုနန္ဒာ
Waziyar	ဝဇီယာ
Za-myin-zwe Zay	(စျ) စျေး
Duyar Lan	ဒူးယားလမ်း
Dawei Chaun	ထားဝယ်ချောင်
Kyan Mar Yae (TharKayTa)	ကျန်းမာရေး (သာကေတ)
Kyan Mar Yae (YarZaThinGyan)	ကျန်းမာရေး (ရာဇသင်္ကြန်)
YarZaDaRitz Ngar-sae Kwae	ရာဇဓိရာဇ် (၅၀)ကွေ့
Yone Shae (North OakKalar)	ရုံးရှေ့ (မ/ဥက္ကာလာ)
Yone Shae (HlaingTharYar)	ရုံးရှေ့ (လှိုင်သာယာ)
Ga-gyi Zay	(ဃ) စျေး
Gate Haung	ဂိတ်ဟောင်း
Kyauk Yae Twin	ကျောက်ရေတွင်း
Myauk Okkalar Awine	မြောက်ဥက္ကလာအဝိုင်း
Phone Gyi Lan (North OakKaLar)	ဘုန်းကြီးလမ်း (မြောက်ဥက္ကလာ)
Phone Gyi Lan (AhTharWaTi Road)	ဘုန်းကြီးလမ်း (အာသာဝတီလမ်း)
Yone Thit (North OakKaLar)	ရုံးသစ် (မ/ဥက္ကာလာ)
Gandar Yone (North Dagon)	ဂန္ဓာရုံ (မ/ဒဂုံ)
Khay Mar	ခေမာ
Gate Haung (KhayMarThi)	ဂိတ်ဟောင်း (ခေမာသီ)
AWineHtake (North OakKalar)(KhayMarThi)	အဝိုင်းထိပ် (မ/ဥက္ကာလာ) (ခေမာသီ)
Kyaung Kwae (MyinThawThar Road)	ကျောင်းကွေ့ (မြင်တော်သာလမ်း)
Phyo Sabei	ဖြိုးစံပယ်
Ba Htoo Zay	ဗထူးစျေး
Banyardala	ဗညားဒလ
Kyan Mar Yae	ကျန်းမာရေး
Kyaung Lay Shae (North Dagon)	ကျောင်းလေးရှေ့ (မ/ဒဂုံ)
Lay-sae-lay(North Dagon)	၄၄ (မ/ဒဂုံ)
Khun/ Shit Lan Sone (PyiDaungSu Road)	၇/၈ လမ်းဆုံ (ပြည်ထောင်စုလမ်း)
Lay-sae-nga (North Dagon)	၄၅ (မ/ဒဂုံ)
Bo Min Gaung	ဗိုလ်မင်းခေါင်
Kyaung Lan (Shwe Pout Kan)	ကျောင်းလမ်း (ရွှေပေါက်ကံ)
Thone-sae-chauk Gate Haung	(၃၆) ဂိတ်ဟောင်း
Sae-Hnit Gate	(၁၂) ဂိတ်
Phone Gyi Lan	ဘုန်းကြီးလမ်း
Sadon Duu War	ဆဒုံဒူးဝါး
Nar Yee Sin (North Dagon)	နာရီစင် (မ/ဒဂုံ)
Nar Yee Sin	နာရီစင်
Ah Kyaw Tae (No 2 Road)	အကြော်တဲ (အမှတ်(၂) လမ်း)
Chauk Lan	(၆) လမ်း
Hong Kong	ဟောင်ကောင်
Thin Win	သင်းဝင်
Thone-sae-ngar Kwae	(၃၅) ကွေ့
Kyaung Lan (Hlaing TharYar)	ကျောင်းလမ်း (လှိုင်သာယာ)
Kyaung Lan (Ar Thar Wadi Road)	ကျောင်းလမ်း (အာသာဝတီလမ်း)
Settwe Yae (ShweDaGon PaYar Road)	ဆက်သွယ်ရေး (ရွှေတိဂုံဘုရားလမ်း)
Settwe Yae (North Dagon)	ဆက်သွယ်ရေး (မ/ဒဂုံ)
Sittaung Lan	စစ်တောင်းလမ်း
Swan In (North Dagon)	စွမ်းအင် (မ/ဒဂုံ)
Kasar Kwin	ကစားကွင်း
Ka Pa Ya	ကပရ
Ma Wa Ta Sone (PyiDaungSu Road)	မဝတလမ်းဆုံး (ပြည်ထောင်စုလမ်း)
Tadar Htate (Myeik)	တံတားထိပ် (မြိတ်)
Lay Kyaung	လေကျောင်း
Tat Yin Thone (No 2 Main Road)	တပ်ရင်း (၃) (အမှတ်(၂)လမ်းမ)
Thin Tan Kyaung	သင်တန်းကျောင်း
A Aye Saing	အအေးဆိုင်
Lay-sae-chauk Lan Sone (North Dagon)	၄၆ လမ်းဆုံ (မ/ဒဂုံ)
Lay-sae-chauk Road	၄၆ လမ်း
Lay-sae-chauk Lan Sone (BaHtoo Road)	၄၆ လမ်းဆုံ (ဗထူးလမ်း)
Myawaddy	မြဝတီ
Sein Pan	စိန်ပန်း
Zay Lay (HlaingTharYar)	စျေးလေး (လှိုင်သာယာ)
Zay Lay (KyanSitThar Road-HlaingTharYar)	စျေးလေး (ကျန်စစ်သားလမ်း-လှိုင်သာယာ)
Dagon University	ဒဂုံတက္ကသိုလ်
Moke Oo (YuZaNa)	မုခ်ဦး (ယုဇန)
West Moke Oo (ShweLi Road)	အနောက်မုခ်ဦး (ရွှေလီလမ်း)
Moke Oo (DU)	မုခ်ဦး (DU)
Moke Oo (DU - MinYeKyawSwar Road)	မုခ်ဦး (DU) - မင်းရဲကျော်စွာလမ်း
Yone Shae (South Dagon)	ရုံးရှေ့ (တ/ဒဂုံ)
Si Pin	စည်ပင်
Baho Zay (Thitsar Lan)	ဗဟိုစျေး (သစ္စာလမ်း)
Kyauk Kone	ကျောက်ကုန်း
Kyauk Kone Htate	ကျောက်ကုန်းထိပ်
Moe Kaung	မိုးကောင်း
Zay Than Lan (HlawKar)	စျေးသံလမ်း (လှော်ကား)
Than Lan (ShwePyiThar)	သံလမ်း (ရွှေပြည်သာ)
Parami Than Lan	ပါရမီသံလမ်း
Sar Taik (Yankin)	စာတိုက် (ရန်ကင်း)
Aung Yadanar SayKhan	အောင်ရတနာဆေးခန်း
Kalar Paya (Mingalardon)	ကုလားဘုရား (မင်္ဂလာဒုံ)
Kalar Paya (Yadanar Road)	ကုလားဘုရား (ရတနာလမ်း)
Ponnami (South OakKaLar)	ပုဏ္ဏမီ (တောင်ဥက္ကလာ)
Sar Taik (TharKayTa)	စာတိုက် (သာကေတ)
Sar Taik (ThitSar Road)	စာတိုက် (သစ္စာလမ်း)
Yadanar Zay	ရတနာစျေး
Yone Shae (South OakKaLar)	ရုံးရှေ့ (တောင်ဥက္ကလာ)
Bay Li (ThanThuMar Road)	ဘေလီ (သံသုမာလမ်း)
Inwa EainYar 	အင်းဝအိမ်ယာ
Inwa EainYar (Myeik Road)	အင်းဝအိမ်ယာ (မြိတ်လမ်း)
Myin Thar Zay	မြင်သာစျေး
Paya Lan (Insein Road)	ဘုရားလမ်း (အင်းစိန်လမ်း)
Pinya	ပင်းယ
OkKaLarPa Paya (ThanThuMar)	ဥက္ကလာပဘုရား (သံသုမာ)
Se Man Kane	စီမံကိန်း
Kyaung Lan (Ta Pin Shwe Htee)	ကျောင်းလမ်း (တပင်ရွှေထီး)
Kyaung Lan (Min Ye Kyaw Swar)	ကျောင်းလမ်း (မင်းရဲကျော်စွာ)
Yoe Lay	ရိုးလေး
Mile Hnat-sae	မိုင် (၂၀)
Bago Lan	ပဲခူးလမ်း
Shwe Yin Aye Paya	ရွှေရင်အေးဘုရား
Site Kar Gate	ဆိုက်ကားဂိတ်
Site Kar Gate (Nyaung Kone)	ဆိုက်ကားဂိတ် (ညောင်ကုန်း)
Zay Lay (ShweLinPan)	စျေးလေး (ရွှေလင်ပန်း)
Ah Htoo Gate	အထူးဂိတ်
Ah Hta Ka Thone	အထက (၃)
Shwe Myin Pyan	ရွှေမြင်းပျံ
Yin Htun	ရင်ထွန်း
Koe-Sae-Chauk Gate Haung	(၉၆) ဂိတ်ဟောင်း
Shwe Thee Lay	ရွှေသီးလေး
B.O.C (NatMout Road)	ဘီအိုစီ (နတ်မောက်လမ်း)
B.O.C (MingalarDone)	ဘီအိုစီ (မင်္ဂလာဒုံ)
Sanay Ma	စနေမ
Ngar-Htake Sanay Ma	(၅) ထိပ် (စနေမ)
Thama Kone (HlaingTharYar)	သမကုန်း (လှိုင်သာယာ)
Thama Kone (AhNawYaHtar Road)	သမကုန်း (အနော်ရထာလမ်း)
Chauk Tha Ma	(၆) သမ
Mee Khwat Zay	မီးခွက်စျေး
Mee Khwat Zay Lower Htate	မီးခွက်စျေးအောက်ထိပ်
Mee Khwat Zay (KhaYan)	မီးခွက်စျေး (ခရမ်း)
Sauk Lote Yae (No 4 Road)	ဆောက်လုပ်ရေး (အမှတ်(၄)လမ်း)
Sauk Lote Yae (Yadanar Road-TharKayTa)	ဆောက်လုပ်ရေး (ရတနာလမ်း - သာကေတ)
Ngar Gate	(၅) ဂိတ်
Ngar Htate	(၅) ထိပ်
Thone Htate	(၃) ထိပ်
Paya Lan (Shwe LinBan)	ဘုရားလမ်း (ရွှေလင်ဗန်း)
Paya Lan (ThitSar Road)	ဘုရားလမ်း (သစ္စာလမ်း)
Ah Sint Myint	အဆင့်မြင့်
Bogyoke	ဗိုလ်ချုပ်
Set Hmu Zone (HlaingTharYar)	စက်မှုဇုန် (လှိုင်သာယာ)
Set Hmu Zone (DarPain)	စက်မှုဇုန် (ဒါးပိန်)
Butar (Kyee Myint Daing)	ဘူတာ (ကြည့်မြင်တိုင်)
Chaung Wa	ချောင်းဝ
O One	အိုဝမ်း
Padauk Chaung/Thiri Mingalar Zay Thit	ပိတောက်ချောင်း/သီရိမင်္ဂလာစျေးသစ်
Kamayut Station (Baho Road)	ကမာရွတ်ဘူတာ (ဗဟိုလမ်း)
Kamayut Station Lan (Baho Road)	ကမာရွတ်ဘူတာရုံလမ်း (ဗဟိုလမ်း)
San Yeik Nyein	စံရိပ်ငြိမ်
Sin Yae Twin	ဆင်ရေတွင်း
ThuKhuMa	သုခုမ
Thukha	သုခ
Ywarma Kwae (Baho Road)	ရွာမကွေ့ (ဗဟိုလမ်း)
Ywarma Kwae (BaYintNaung Road)	ရွာမကွေ့ (ဘုရင့်နောင်လမ်း)
Marlar Myaing (5/6)	မာလာမြိုင် (၅/၆)
Marlar	မာလာ
Tadar Phyu (Bo Min Yaung)	တံတားဖြူ (ဗိုလ်မင်းရောင်)
Tadar Phyu (Shwe Pouk Kan)	တံတားဖြူ (ရွှေပေါက်ကံ)
Bayint Naung Lan Sone	ဘုရင့်နောင်လမ်းဆုံ
Buya	ဘုရ
Oakyin (Baho Road)	အုတ်ကျင်း (ဗဟိုလမ်း)
Oakyin (BaYintNaung Road)	အုတ်ကျင်း (ဘုရင့်နောင်လမ်း)
Sit Kyawe Yae/ Shaw Yawe	စစ်ကြောရေး/ လျှော်ရွေး
Thamine Myoh Thit (Baho Road)	သမိုင်းမြို့သစ် (ဗဟိုလမ်း)
Thiri Myaing	သီရိမြိုင်
Zay Butar	စျေးဘူတာ
Bartar	ဘာတာ
Kyway Tit	ကြွေတစ်
Oakyin (Insein Road)	အုတ်ကျင်း (အင်းစိန်လမ်း)
Paya Lan (Pathein Road)	ဘုရားလမ်း (ပုသိမ်လမ်း)
U Ba Han	ဦးဘဟန်
A.D	အေဒီ
Khun-nha Mile	(၇) မိုင်
Kyaung Kwae (BoMinYaung)	ကျောင်းကွေ့ (ဗိုလ်မင်းရောင်)
Chaw Twin Kone (KaBarAye)	ချော်တွင်းကုန်း (ကမ္ဘာအေး)
Chaw Twin Kone (KaBarAye PaYar Road)	ချော်တွင်းကုန်း (ကမ္ဘာအေးဘုရားလမ်း)
Kabar Aye Paya	ကမ္ဘာအေးဘုရား
Yeik Thar (Lay Htaut Kan)	ရိပ်သာ (လေးထောင့်ကန်)
Yeik Thar (No 2 Road)	ရိပ်သာ (အမှတ်(၂)လမ်း)
Lan Ni	လမ်းနီ
Marlar Kwae (Parami Road)	မာလာကွေ့ (ပါရမီလမ်း)
Kalar Kyaung	ကုလားကျောင်း
Kha Wae Chan (Baho Road)	ခဝဲခြံ (ဗဟိုလမ်း)
Kha Wae Chan (Insein Road)	ခဝဲခြံ (အင်းစိန်လမ်း)
Kyaik Wine	ကျိုက်ဝိုင်း
Ye Yan Aung	ရဲရန်အောင်
A One	အေဝမ်း
Mahar Si	မဟာစည်
Myaing Hay Wun Pan Chan	မြိုင်ဟေဝန်ပန်းခြံ
Shit Mile (Pyay Road)	၈ မိုင် (ပြည်လမ်း)
Ye Baw Haung	ရဲဘော်ဟောင်း
Hnit Zay (ThuDaMar)	(၂) စျေး (သုဓမ္မာ)
Hnit Zay (ArTharWaTi Road)	(၂) စျေး (အာသာဝတီလမ်း)
Kyaung Kwae (ArTharWadi Road)	ကျောင်းကွေ့ (အာသာဝတီလမ်း)
Kyaung Kwae (RC2)	ကျောင်းကွေ့ (RC2)
Kyaung Lan (Than Thu Mar)	ကျောင်းလမ်း (သံသုမာ)
Kyaung Lan (No 4 Road)	ကျောင်းလမ်း (အမှတ်(၄)လမ်း)
Lan Wa/ Nawaday	လမ်းဝ/နဝဒေး
Ngar Lan (Yuzana)	(၅)လမ်း (ယုဇန)
Oak Pon Seik	အုတ်ပုံဆိပ်
Phone Gyi Lan	ဘုန်းကြီးလမ်း
Lay-Thone-Ngar Hmat Taing	(၄၃၅) မှတ်တိုင်
Lay-Thone-Chauk Hmat Taing	(၄၃၆) မှတ်တိုင်
Kar Lay Gate (MaHarMyaing)	ကားလေးဂိတ် (မဟာမြိုင်)
Kar Lay Gate (MhawBi)	ကားလေးဂိတ် (မှော်ဘီ)
Saik Shae	စိုက်ရှေ့
A Way Pyay	အဝေးပြေး
Saw Bwar Gyi Kone (LanThit Road)	စော်ဘွားကြီးကုန်း (လမ်းသစ်လမ်း)
Koe Mile (Ocean)	၉မိုင် (အိုးရှင်း)
Koe Mile Khawe	၉ မိုင်ခွဲ
Myo Thit Zay	မြို့သစ်စျေး
Padauk Lan	ပိတောက်လမ်း
Bayint Naung Zay/ Zay Pwae Yone	ဘုရင့်နောင်စျေး/စျေးပွဲရုံ
B.P.I	ဘီပီအိုင်
Kyoe Kone (Baho Road)	ကြို့ကုန်း (ဗဟိုလမ်း)
Kyoe Kone (Insein Road)	ကြို့ကုန်း (အင်းစိန်လမ်း)
Kyoe Kone Lan Sone	ကြို့ကုန်းလမ်းဆုံ
Myoh Thit	မြို့သစ်
Aye Theikdi/ Thayet Taw	အေးသိဒ္ဓိ/ သရက်တော
Htaung Boo Wa	ထောင်ဘူးဝ
Insein Kannar	အင်းစိန်ကမ်းနား
Insein Zay	အင်းစိန်စျေး
Lay-sae-shit Gate	(၄၈) ဂိတ်
Min Zedi	မင်းစေတီ
Pauk Taw Wa (HlaingMyit Road)	ပေါက်တောဝ (လှိုင်မြစ်လမ်း)
Pauk Taw Wa (BaYintNaung Road)	ပေါက်တောဝ (ဘုရင့်နောင်လမ်း)
Sayardaw Gyi	ဆရာတော်ကြီး
Ywarma	ရွာမ
Ar Lain Ngar Sint	အာလိန်ငါးဆင့်
B.O.C (Insein Road)	ဘီအိုစီ (အင်းစိန်လမ်း)
B.O.C (KhaYan)	ဘီအိုစီ (ခရမ်း)
Insein Gon Tadar/ Hino Gate	အင်းစိန်ကုန်းတံတား/ ဟီးနိုးဂိတ်
Insein Say Yone Gyi	အင်းစိန်ဆေးရုံကြီး
Ma Nya Ka	မညက
Oakyin Wa (LanThit Road)	အုတ်ကျင်းဝ (လမ်းသစ်လမ်း)
Workshop (LanThit Road)	ဝပ်ရှော့ (လမ်းသစ်လမ်း)
Phot Kan Zay	ဖော့ကန်စျေး
Pyi Taw Thar	ပြည်တော်သာ
Pyi Taw Thar/ G.T.I Htate	ပြည်တော်သာ/(GTI)ထိပ်
Saung Hnit	ဆောင် (၂)
Thayet Taw (ThinGanKyun)	သရက်တော (သင်္ဃန်းကျွန်း)
Bo Kone	ဗိုလ်ကုန်း
Hight Pak	ဟိုက်ပက်
Pan Chan Kone	ပန်းခြံကုန်း
Tit-Koe-Koe Gate Haung (KhaYayPin Road)	(၁၉၉) ဂိတ်ဟောင်း (ခရေပင်လမ်း)
Aung San Zay	အောင်ဆန်းစျေး
Bo Chan	ဘိုခြံ
Kyaung Gate	ကျောင်းဂိတ်
Kyaung Zay (Dagon SateKan)	ကျောင်းစျေး (ဒဂုံဆိပ်ကမ်း)
Ywar Thit	ရွာသစ်
Asar Set	အစာစက်
Pan Chan	ပန်းခြံ
Khayae Pin Lan Khawe (Pyay Road)	ခရေပင်လမ်းခွဲ (ပြည်လမ်း)
Khayae Pin Lan Khawe (KhaYaePin Road)	ခရေပင်လမ်းခွဲ (ခရေပင်လမ်း)
Say Kyaung	ဆေးကျောင်း
Thone Yarthi	သုံးရာသီ
Yar Thet Pan	ရာသက်ပန်
Kyaikkasan Paya (Yadanar Road)	ကျိုက္ကဆံဘုရား (ရတနာလမ်း)
Suppaline (MhawBi)	ဆပ်ပလိုင်း (မှော်ဘီ)
Mingalardon Zay	မင်္ဂလာဒုံစျေး
Waryar Let	ဝါယာလက်
Yae Kyi I	ရေကြည်အိုင်
Alal Pauk	အလယ်ပေါက်
Ah-Hmat-Thone Lan Sone	အမှတ် (၃) လမ်းဆုံ
Oh Eain (PoneNarMe Road-Dagon SateKan)	အိုးအိမ် (ပုဏ္ဍမီလမ်း - ဒဂုံဆိပ်ကမ်း)
Oh Eain (Bago River Road-Dagon SateKan)	အိုးအိမ် (ပဲခူးမြစ်လမ်း - ဒဂုံဆိပ်ကမ်း)
Thingangyun	သင်္ဃန်းကျွန်း
Bo Chan	ဘိုခြံ
Hmoe Yon	မှိုရုံ
Set Yone Lan Sone (Dagon SateKan)	စက်ရုံလမ်းဆုံ (ဒဂုံဆိပ်ကမ်း)
London Set Yon	လန်ဒန်စက်ရုံ
Paya Lay Kwae (Dagon SateKan)	ဘုရားလေးကွေ့ (ဒဂုံဆိပ်ကမ်း)
Saing Bote	ဆိုင်းဘုတ်
Shan Su	ရှမ်းစု
Sin Min	ဆင်မင်း
Chauk Lan	(၆) လမ်း
Eain Yar Kwae	အိမ်ယာကွေ့
Palae Eain Yar	ပုလဲအိမ်ယာ
Palae Lan Sone	ပုလဲလမ်းဆုံ
Tadar Phyu (No 3 Main Road)	တံတားဖြူ (အမှတ် (၃) လမ်းမကြီး)
Tadar Phyu (No 6 Main Road)	တံတားဖြူ (အမှတ် (၆) လမ်းမကြီး)
Yakhine Kyaung	ရခိုင်ကျောင်း
C.P Light	စီပီလိုက်
Chan Pauk	ခြံပေါက်
Kon Ta La Paung	ကုန်းတလပေါင်
Kone Htate (Bo Min Yaung)	ကုန်းထိပ် (ဗိုလ်မင်းရောင်)
Lay Yat Kwet	(၄) ရပ်ကွက်
Mwae Myu Yae	မွေးမြူရေး
SayGirl	ဆေးဂဲလ်
Site Thit	ဆိုက်သစ်
Tat Yin Koe	တပ်ရင်း (၉)
War Saing	ဝါးဆိုင်
Yay Set	ရေစက်
Htauk Kyant Lan Sone	ထောက်ကြန့်လမ်းဆုံ
Oak Pho	အုတ်ဖို
PoneNya	ပုည
Thabarwa	သဘာဝ
Than Phyu	သံဖြူ
Thardukan	သာဓုကန်
Ye Chauk	ရဲ (၆)
