name_en	name_mm
Butar Zay	ဘူတာစျေး
Kyaung Lan (Yangon-Pyay Road)	ကျောင်းလမ်း (ရန်ကုန် -ပြည်လမ်း)
Kyaung Lan (Khay Mar Thi)	ကျောင်းလမ်း (ခေမာသီ)
Myin Hlae Gate	မြင်းလှည်းဂိတ်
Phone Gyi Kyaung	ဘုန်းကြီးကျောင်း
Sauk Lote Yae (ShweDagon Pagoda Road)	ဆောက်လုပ်ရေး (ရွှေတိဂုံဘုရားလမ်း)
Sit Tat	စစ်တပ်
Yay Sin	ရေစင်
Tit-Koe-Koe Gate Haung (Pale Road)	၁၉၉ ဂိတ်ဟောင်း (ပုလဲလမ်း)
Palae Lan	ပုလဲလမ်း
Phone Gyi Kyaung Kwae (East Dagon)	ဘုန်းကြီးကျောင်းကွေ့ (ရှေ့/ဒဂုံ)
Phone Gyi Kyaung Kwae (MinYeKyawSwar Road)	ဘုန်းကြီးကျောင်းကွေ့ (မင်းရဲကျော်စွာလမ်း)
Pyaw Bwal	ပျော်ဘွယ်
Tadar Htate (YaZaThinGyan Road)	တံတားထိပ် (ရာဇသင်္ကြန်လမ်း)
Zin Yaw	ဇင်ယော်
Shit-Sae-Tit Gate	(၈၁) ဂိတ်
Kar Gyi Gate (Bago Road)	ကားကြီးဂိတ် (ပဲခူးလမ်း)
Kar Lay Gate (ShwePyiThar)	ကားလေးဂိတ် (ရွှေပြည်သာ)
Khaung Thone Lone	ခေါင်သုံးလုံး
Say Khan	ဆေးခန်း
Shwe Nyar Maung	ရွှေညာမောင်
Taw Win Plaza	တော်ဝင်ပလာဇာ
Koe Thone Lone	ကိုးသုံးလုံး
Na-gyi Kwae	(ဏ) ကွေ့
Yone Shae (DU)	ရုံးရှေ့ (DU)
Yone Shae (50 Kwae)	ရုံးရှေ့ (၅၀ ကွေ့)
Kyaw Swar	ကျော်စွာ
Nga Mauk Zay	ငမောက်စျေး
Sin Hnat Kaung	ဆင်နှစ်ကောင်
Yay Chan Sin	ရေချမ်းစင်
Lower Gate	အောက်ဂိတ်
Aung Chan Thar (Dagon SateKan)	အောင်ချမ်းသာ (ဒဂုံဆိပ်ကမ်း)
Aung Chan Thar (Thanlyin)	အောင်ချမ်းသာ (သန်လျင်)
Aung Myittar	အောင်မေတ္တာ
Nyein Chan Yae	ငြိမ်းချမ်းရေး
Computer	ကွန်ပျူတာ
Kwet Thit (Dagon SateKan)	ကွက်သစ် (ဒဂုံဆိပ်ကမ်း)
Padonemar	ပဒုမ္မာ
Tar Sone	တာဆုံ
Tadar Phyu (Pyay Road)	တံတားဖြူ (ပြည်လမ်း)
Tadar Phyu (Min Ye Kyaw Swar)	တံတားဖြူ (မင်းရဲကျော်စွာ)
Dhamar Yone (HlaingTharYar)	ဓမ္မာရုံ (လှိုင်သာယာ)
YayOo Kan Zay Dhamar Yone	ရေအိုးကန်စျေးဓမ္မာရုံ
Thone Zay (MyinThawThar Road)	၃စျေး (မြင်တော်သာလမ်း)
Myoh Oo Kyaung	မြို့ဦးကျောင်း
See Pwar Yay University	စီးပွားရေးတက္ကသိုလ်
Mee Point	မီးပွိုင့်
Point Htake (ThanLwin Road)	ပွိုင့်ထိပ် (သံလွင်လမ်း)
Phoe Myay	ဖိုးမြေ
Yone Shae (No 3 Main Road)	ရုံးရှေ့ (အမှတ် (၃) လမ်းမကြီး)
(Ta) Yone Shae	(တ) ရုံးရှေ့
Out Kwae	အောက်ကွေ့
A Paw Kwae	အပေါ်ကွေ့
Aung Chan Thar (KyaukTan)	အောင်ချမ်းသာ (ကျောက်တန်း)
Aung Chan Thar (ShwePyiThar)	အောင်ချမ်းသာ (ရွှေပြည်သာ)
Sae-Shit Kone Htaik	(၁၈) ကုန်းထိပ်
Paya Shae (Thone Gwa)	ဘုရားရှေ့ (သုံးဂွ)
Nyaung Pin	ညောင်ပင်
Kunn Yar Saing (No 6 Road)	ကွမ်းယာဆိုင် (အမှတ်(၆)လမ်း)
Thama College	သမကောလိပ်
Nine Gate	(၉) ဂိတ်
Shit-Sae-Hnit	(၈၂)
Kyant Khaing Yae	ကြံ့ခိုင်ရေး
Yay Oh Sin	ရေအိုးစင်
Hnit Gate	(၂) ဂိတ်
Yoke Than	ရုပ်သံ
Ta-Sae-Ngar	တစ်ဆယ့်ငါး
Mee Sat	မီးစက်
Say Khan	ဆေးခန်း
Kyat Phyu Kan	ကြက်ဖြူကန်
Ye Baw Zay	ရဲဘော်စျေး
San Chaung Pauk	စမ်းချောင်းပေါက်
Main Ma Line	မိန်းမလိုင်း
Sae-Thit Taw	ဆယ့်တစ်တော
Koe-Sae-Tit Gate	(၉၁) ဂိတ်
Set Thwe Yay Gate Wa	ဆက်သွယ်ရေးဂိတ်ဝ
Set Thwe Yay (MhawBi)	ဆက်သွယ်ရေး (မှော်ဘီ)
Bo Thin Tan	ဗိုလ်သင်တန်း
Say Tat	ဆေးတပ်
Maw Taw Yin	မော်တော်ယာဉ်
Lay Tat	လေတပ်
Supply	ဆပ်ပလိုင်း
Sae-Chauk Gate	(၁၆) ဂိတ်
Yone Pauk	ရုံးပေါက်
Lay Sal Zay	၄၀ စျေး
A Hmat Lay	အမှတ် (၄)
Hmaw Bi Zay	မှော်ဘီစျေး
Thayet Taw Pauk	သရက်တောပေါက်
Mee Sat Pout	မီးစက်ပေါက်
Htan Ta Pin Tar Sone	ထန်းတပင်တာဆုံ
Su Paung Yone	စုပေါင်းရုံး
U Thu Mingala	ဦးသုမင်္ဂလ
Daung Lay Kwae	ဒေါင်းလေးကွေ့
Own Chan	အုန်းခြံ
G.T.C Site Thit	ဂျီတီစီဆိုက်သစ်
G.T.C Yay Oh	ဂျီတီစီရေအိုး
G.T.C Alal Pauk	ဂျီတီစီအလယ်ပေါက်
Aung Chan Thar (PhaungGyi)	အောင်ချမ်းသာ (ဖောင်ကြီး)
Aung Chan Thar Pyar Pone	အောင်ချမ်းသာပြာပုံ
Oak Set	အုတ်စက်
Myo Chaung	မြို့ချောင်း
Lan Ni Lay	လမ်းနီလေး
Japan Site	ဂျပန်ဆိုက်
Equator	အီကွေတာ
Phanat Sat	ဖိနပ်စက်
Baw Lone Sat Yone	ဘောလုံးစက်ရုံ
Baw Lone Ye Gate	ဘောလုံးရဲဂိတ်
Say War	ဆေးဝါး
Mani	မနီ
Kalar Kone	ကုလားကုန်း
Kyat Chan Pauk	ကြက်ခြံပေါက်
Chan Aye	ချမ်းအေး
Pha-Ye Khinn	ဖရဲခင်း
Than-Ma-Ni Sat Yon	သံမဏိစက်ရုံ
Hii Kue Nat Sin	ဟိုင်းကူးနတ်စင်
Nat Sin (HlaingTharYar)	နတ်စင် (လှိုင်သာယာ)
Kywe Lan	ကျွဲလမ်း
Myaung Takar Tar Sone	မြောင်းတကာတာဆုံ
Myaung Takar Sein Kalar	မြောင်းတကာစိန်ကုလား
Myaung Takar Yae Kyaw	မြောင်းတကာရေကျော်
Myauk Chaw Kone	မျောက်ချောကုန်း
Ywar Lal Pin	ရွာလယ်ပင်
Gone Kwae	ကုန်းကွေ့
Kyun Chaung	ကျွန်းချောင်း
Nga-Pyaw Taw	ငှက်ပျောတော
Yone Htein Thone	ရုံးထိန်း (၃)
Shwe Mya Yar	ရွှေမြယာ
Inn Yat Kyee	အင်းယက်ကြီး
Kan Kyee Daut (Dagon SateKan)	ကန်ကြီးထောင့် (ဒဂုံဆိပ်ကမ်း)
Kan Kone	ကန်ကုန်း
Taik Kyi Tar Gwa	တိုက်ကြီးတာခွ
Taik Kyi Phaung Gyi Lan Khwe	တိုက်ကြီးဖောင်ကြီးလမ်းခွဲ
Taik Kyi Khan Ma	တိုက်ကြီး ခန်းမ
MCC Khan Ma	MCC အမ်စီစီ ခန်းမ
Taik Kyi Zay	တိုက်ကြီးစျေး
Aung Thukha	အောင်သုခ
Yay Nan Gate Wa	ရေနံဂိတ်ဝ
Yay Nan Gate	ရေနံဂိတ်
Dar Gude	ဒါကုရ်
Myoma	မြို့မ
Myoma Zay	မြို့မစျေး
Kyar Paya	ကျားဘုရား
Sal Myaung (Thanlyin)	ဆည်မြောင်း (သန်လျင်)
Bahosi/ Mawtin	ဗဟိုစည်/ မော်တင်
Mit Zu Lan	မဉ္ဇူလမ်း
Mit Zu	မဥ္ဇူ
Nawaday	နဝဒေး
Ayar	ဧရာ
Paya Kone Lan Sone	ဘုရားကုန်းလမ်းဆုံ
Nat Sin Ta-Yar	နတ်စင်တစ်ရာ
San Set	ဆန်စက်
Kyaik Inn	ကျိုက်အင်း
Nat Sin Koun	နတ်စင်ကုန်း
Saw Bwar	စော်ဘွား
Ngar Su	ငါးစု
Hta Ma Lon	ထားမလုံ
Ko Tin Maung Chan Wa	ကိုတင်မောင်ခြံဝ
Aung Ta Pyay	အောင်သပြေ
Tit Road	(၁) လမ်း
Alal Ywar	အလယ်ရွာ
Hta Ma Ni Phone Gyi Kyaung Shae	ထမနီးဘုန်းကြီးကျောင်းရှေ့
Hta Ma Ni Gone Htate	ထမနီးကုန်းထိပ်
Saik Pyoe Yay	စိုက်ပျိုးရေး
Nyaung Wine	ညောင်ဝိုင်း
Mway Paya	မြွေဘုရား
Pa Da Kyi	ပါဒကြီး
Chan Myae Thar Yar	ချမ်းမြေ့သာယာ
Si Saing (Bago River Road-Dagon SateKan)	ဆီဆိုင် (ပဲခူးမြစ်လမ်း - ဒဂုံဆိပ်ကမ်း)
Pal Hlaw Pho	ပဲလှော်ဖို
Gat Tae Kwae	ဂါတ်တဲကွေ့
Kyauk Tan	ကျောက်တန်း
Ngone Chan	ငုံးခြံ
Chauk Htet Gyi	ခြောက်ထပ်ကြီး
Chauk Lan Twar	ခြောက်လမ်းသွား
Kyar Ni Kan	ကြာနီကန်
Nay La	နေလ
Chaung Tit	ချောင်း (၁)
Sit Pin Kwinn	စစ်ပင်ကွင်း
Nyaung Pin Lay Zay	ညောင်ပင်လေးစျေး
Ma Yin Kwae	မရင်ကွေ့
Ta-Htay Kwinn	သူဌေးကွင်း
Kayin Seik Anout Phyar	ကရင်ဆိပ်အနောက်ဖျား
Kayin Seik Thama	ကရင်ဆိပ်သမ
Chin Ma Lay Kayin Seik	ချင်းမလေးကရင်ဆိပ် (ကရင်ဆိပ်)
Shwe Htan Pin	ရွှေထန်းပင်
San Da Thu	ဆန္ဒတူ
Palae Maw Taw Seik	ပုလဲမော်တော်ဆိပ်
Palae	ပုလဲ
Kan Myint	ကံမြင့်
Ou Yin Thar	ဥယာဉ်သာ
Kar Gyi Tae	ကားကြီးတဲ
Pyinn Ma Kan	ပျဉ်းမကန်
Taung Mo/ Hle Lan	တောင်မို့/လှည်းလမ်း
Bo Tae Kone	ဗိုလ်တဲကုန်း
Five Star	ဖိုက်စတား
Tadar Ni	တံတားနီ
Pwint Oo	ပွင့်ဦး
Taik Tu Kan	တိုက်တူးကန်
Nyaung Ni Tadar	ညောင်နီတံတား
Hnit Htat Kwae	နှစ်ထပ်ကွေ့
Own Tadar	အုန်းတံတား
Ye Nwe	ရဲနွယ်
U Tin Hla Tadar	ဦးတင်လှတံတား
Ngapi Oak Pauk	ငပိအုတ်ပေါက်
Paya Lay Tadar	ဘုရားလေးတံတား
War Tadar (No 6 Road)	ဝါးတံတား (အမှတ်(၆)လမ်း)
Mee Thar Su Tadar	မိသားစုတံတား
Kyo So Par Ei	ကြိုဆိုပါ၏
Saik Pyoe Yay Kwae	စိုက်ပျိုးရေးကွေ့
Khun Htate	ခွန်ထိပ်
Lay Saing	လေဆိုင်
Shwe Pu Zun Kwae	ရွှေပုစွန်ကွေ့
Ban Shae	ဘဏ်ရှေ့
Htauk Kyant Lan Sone	ထောက်ကြန့်လမ်းဆုံ
Myo Shouk Lan	မြို့လျှောက်လမ်း
Ka Lai Htaw	ကလိုင်ထော်
Sain Lae Oo	စိမ်းလဲ့ဦး
A Mhat Thone	အမှတ် (၃)
Htan Pin Kan	ထန်းပင်ကန်
Shwe War Myay	ရွှေဝါမြေ
Yadanar Myay	ရတနာမြေ
Kyun Ka Lay	ကျွန်းကလေး
Yate Thein	ရိတ်သိမ်း
A Nout Zayat (Hle Gu)	အနောက်ဇရပ် (လှည်းကူး)
A Shae Dagon (Htan Ta Pin)	အရှေ့ဒဂုံ (ထန်းတပင်)
A Shae Zayat	အရှေ့ဇရပ်
Ar-zi-wa	အာဇီဝ
Sein Nagar	စိန်နဂါး
Yankin Ngar Lan	ရန်ကင်း (၅) လမ်း
Yone Shae (ShwePyiThar)	ရုံးရှေ့ (ရွှေပြည်သာ)
Yone Shae (KyanSitThar Road-HlaingTharYar)	ရုံးရှေ့ (ကျန်စစ်သားလမ်း-လှိုင်သာယာ)
Yoma Yeik Thar	ရိုးမရိပ်သာ
Yeik Thar	ရိပ်သာ
Hlegu Zay	လှည်းကူးစျေး
Thin Zar Oo	သဥ္ဇာဦး
Oo Khway Pu	ဦးခွေးပု
San Taw Tar	စန်းသော်တာ
Nyaung Pin	ညောင်ပင်
Sal Myaung Yone (Phaung Gyi)	ဆည်မြောင်း (ဖောင်ကြီး)
Ngapi Tae	ငပိတဲ
Sakhan Kyi	စခန်းကြီး
Mhan Kone	မှန်ကုန်း
Htain Thone Pin	ထိန်သုံးပင်
Ka Li Htaw	ကလီထော်
Aung Ta Pyay	အောင်သပြေ
Kyar Kan	ကြာကန်တံတား
Ka Dit	ကဒစ်
Nat-Khan-Mhway Taik	နှုတ်ခမ်းမွှေးသိုက်
Si Own	ဆီအုန်း
Tha Pyay Kone	သပြေကုန်း
Sar Oo	စာဥ
Sar Boo Taung	စာဘူးတောင်း
A Myan Lan Sone	အမြန်လမ်းဆုံ
Khun/ Shit Lan Sone (YarZaDaRitz Road)	၇/၈ လမ်းဆုံ (ရာဇဓိရာဇ်လမ်း)
Nyaung Kone	ညောင်ကုန်း
Kyo Kone Exchange Yone	ကြို့ကုန်းအိတ် (စ်)ချိန်းရုံး
Koo Paung	ကူပေါင်း
Hine Koo	ဟိုင်းကူး
Ou Yin Wa	ဥယျာဉ်ဝ
Tha Pyay Taung	သပြေတောင်
Ou Yin Wa Lan Thit	ဥယျာဉ်ဝလမ်းသစ်
Paya Kone	ဘုရားကုန်း
Si Pin Lan Khwe	စည်ပင်လမ်းခွဲ
Phaung Gyi Tar Sone	ဖောင်ကြီးတာဆုံ
Say Yone Kone	ဆေးရုံကုန်း
Baho Wun Htan University	ဗဟိုဝန်ထမ်းတက္ကသိုလ်
San Pya	စံပြ
Thama War Ya Ma College	သမဝါယမကောလိပ်
Min Kone	မင်းကုန်း
Chan Wine	ခြံဝိုင်း
Lay Daung Kan (Site Mway Tit)	လေးထောင့်ကန် (ဆိုက်မွေး-၁)
Yeik Thar (Bago Road)	ရိပ်သာ (ပဲခူးလမ်း)
Out Ywar Yeik Thar	အောက်ရွာရိပ်သာ
Thama	သမ
U Khway Pu	ဦးခွေးပု
Moke Pho	မုန့်ဖို
Tha Pyay Chan	သပြေခြံ
December Moke Oo	ဒီဇင်ဘာမုခ်ဦး
December Alal Pauk	ဒီဇင်ဘာအလယ်ပေါက်
A Aye Khan	အအေးခန်း
Kyo So Yay (No 2 Main Road)	ကြိုဆိုရေး (အမှတ်(၂)လမ်းမကြီး)
Sal Myaung (No 2 Road)	ဆည်မြောင်း (အမှတ်(၂)လမ်း)
Sal Myaung (Hlegu)	ဆည်မြောင်း (လှည်းကူး)
Tayar-Lay-Sae	တစ်ရာ့လေးဆယ်
Kyaung Shae (Sii Pin Road)	ကျောင်းရှေ့ (စည်ပင်လမ်း)
Nyaung Pin	ညောင်ပင်
A Kauk Khun	အကောက်ခွန်
Sate Kyan Mar Yae Say Yone	စိတ်ကျန်းမာရေးဆေးရုံ
Technology University (G.T.U)	နည်းပညာတက္ကသိုလ်(ဂျီတီယူ)
West Yangon University	အနောက်ပိုင်းတက္ကသိုလ်
Sal Mile Kone	၁၀ မိုင်ကုန်း
Yone Shae (ThaYat Pin)	ရုံးရှေ့ (သရက်ပင်)
Thone-sae-tit Gate Haung (South OakKaLar)	(၃၁) ဂိတ်ဟောင်း (တောင်ဥက္ကလာ)
Thanat Pyit Kwin	သေနတ်ပစ်ကွင်း
Kyaetamar	ကျေးတမာ
Paya Lan (KyanSitThar Road-HlaingTharYar)	ဘုရားလမ်း (ကျန်စစ်သားလမ်း-လှိုင်သာယာ)
Yone Shae (HlawKar Road)	ရုံးရှေ့ (လှော်ကားလမ်း)
Phone Gyi Kyaung Kwae (Bago River KanNar)	ဘုန်းကြီးကျောင်းကွေ့ (ပဲခူးမြစ်ကမ်းနား)
Phone Gyi Kyaung Kwae (YarZaDaRitz Road)	ဘုန်းကြီးကျောင်းကွေ့ (ရာဇဓိရာဇ်လမ်း)
Thit Saing Kwae (KhaYan)	သစ်ဆိုင်ကွေ့ (ခရမ်း)
Thone-Sae-Hnit Gate	(၃၂) ဂိတ်
Kanaung Eain Yar	ကနောင်အိမ်ယာ
Kyaetamar	ကျေးတမာ
Kanaung Kwae	ကနောင်ကွေ့
Chauk-Sae-Hnit	(၆၂)
Myittar Shwe Yi	မေတ္တာရွှေရည်
Sagar Wah	စကားဝါ
Sat Yone Shae (Lay Htaut Kan)	စက်ရုံရှေ့ (လေးထောင့်ကန်)
Sat Yone Shae (Ka Mar Kyi Road)	စက်ရုံရှေ့ (ကမာကြည်လမ်း)
Sae-Chauk Kwae	၁၆ကွေ့
Parami NyaungPin	ပါရမီညောင်ပင်
Parami (Dagon SateKan)	ပါရမီ (ဒဂုံဆိပ်ကမ်း)
Thone-Htet Kyaung Kwae	သုံးထပ်ကျောင်းကွေ့
Insein Pan Chan (LanThit Road)	အင်းစိန်ပန်းခြံ (လမ်းသစ်လမ်း)
Thamine Station (Baho Road)	သမိုင်းဘူတာ (ဗဟိုလမ်း)
Insein Say Yone Gyi	အင်းစိန်ဆေးရုံကြီး
Lan Thit (No 2 Main Road)	လမ်းသစ် (အမှတ်(၂)လမ်းမ)
Lan Thit	လမ်းသစ်
Shwe La Min	ရွှေလမင်း
Sin Phon Kwae	ဆင်ဖုံကွေ့
Kyauk Lan Htate (Bagan Road)	ကျောက်လမ်းထိပ် (ပုဂံလမ်း)
Ocean (MaHarBanDuLa Road)	အိုးရှင်း (မဟာဗန္ဓုလလမ်း)
Ocean (Lower PaZunDaung Road)	အိုးရှင်း (အောက်ပုဇွန်တောင်လမ်း)
Out Htate	အောက်ထိပ်
Toe Chae	တိုးချဲ့
Mee Khwat Zay (BoAungKyaw)	မီးခွက်စျေး (ဗိုလ်အောင်ကျော်)
Zay Lan	စျေးလမ်း
Arr Man	အားမာန်
Yoe Gyi	ရိုးကြီး
Tayar-Tone Gate Haung	(၁၀၃) ဂိတ်ဟောင်း
Kan Baw Za	ကမ္ဘာဇ
Gate Haung (BaHtoo Road)	ဂိတ်ဟောင်း (ဗထူးလမ်း)
Ayar Myay	ဧရာမြေ
Computer	ကွန်ပျူတာ
Saw Bwar Gyi Kone (Pyay Road)	စော်ဘွားကြီးကုန်း (ပြည်လမ်း)
Koke Kine	ကုက္ကိုင်း
Inya Myaing	အင်ယာမြိုင်
Thanlwin	သံလွင်
U.F.L	ယူအပ်ဖ်အယ်
Thanlwin	သံလွင်
Hlegu Tar Sone	လှည်းကူးတာဆုံ
Khun/ Shit Lan Sone (MinYeKyawSwar Road)	၇/၈ လမ်းဆုံ (မင်းရဲကျော်စွာလမ်း)
Dagon Ayar A Way Pyay	ဒဂုံဧရာအဝေးပြေး
Kili	ကီလီ
Nyaung Pin Lay Zay	ညောင်ပင်လေးစျေး
Latha (AhNawYaHtar Road)	လသာ (အနော်ရထာလမ်း)
Shwe Pyi Thar Kwae	ရွှေပြည်သာကွေ့
Bayint Naung Lan Sone	ဘုရင့်နောင်လမ်းဆုံ
Shwe Lin Pan	ရွှေလင်ပန်း
Ywar Htate	ရွာထိပ်
Ma Da	မဓ
Aung Taw My	အောင်တော်မူ
A Mhite Pone	အမိုက်ပုံး
Than Lyet Soon	သံလျှက်စွန်း
Waibargi	ဝေဘာဂီ
Myoh Thit	မြို့သစ်
Gate Haung	ဂိတ်ဟောင်း
Baho Bank	ဗဟိုဘဏ်
Kyel Ngar Pwint	ကြယ်ငါးပွင့်
Wizaya Plaza	ဝိဇယပလာဇာ
Shwe Myin Pyan	ရွှေမြင်းပျံ
Paya Lan (Lay Htaut Kan)	ဘုရားလမ်း (လေးထောင့်ကန်)
Thuwunna Lan Sone	သုဝဏ္ဏလမ်းဆုံ
Khayae Pin Yate Mon	ခရေပင်ရိပ်မွန်
Lay Har Pyin Zay	လေဟာပြင်စျေး
Thamine Lan Son	သမိုင်းလမ်းဆုံ
Moke Wa AHtwat (DU)-KyanSitThar Road	မုခ်ဝအထွက် (DU) - ကျန်စစ်သားလမ်း
Gate Haung	ဂိတ်ဟောင်း
Pathein Kyaung Lan	ပုသိမ်ကျောင်းလမ်း
Thein Kyaung Lan Sone (Bago River Road)	သိမ်ကျောင်းလမ်းဆုံ (ပဲခူးမြစ်လမ်း)
Shit Thama	၈ သမ
Bhone Gyi Kyaung Kwae (ShwePyiThar)	ဘုန်းကြီးကျောင်းကွေ့ (ရွှေပြည်သာ)
Mat Tine Thit	မှတ်တိုင်သစ်
Zay Mat Tine	စျေးမှတ်တိုင်
Say Yone Shae	ဆေးရုံရှေ့
Sae-Thone Lan	၁၃ လမ်း
Gate Haung	ဂိတ်ဟောင်း
Phone Gyi Lan	ဘုန်းကြီးလမ်း
Thakhin Mya Pan Chan	သခင်မြပန်းခြံ
Damaryone Lan	ဓမာရုံလမ်း
Ayat Sine Kwae	အရက်ဆိုင်ကွေ့
Kyauk Kwae	""
Sae-Tit Lan (PoneNarMe)	၁၁ လမ်း (ပုဏ္ဍမီ)
Kyauk Kwae	ကျောက်ကွေ့
Koe-Sae-Tit Lan	၉၁ လမ်း
Phuu Gyi Lan	ဖူးကြီးလမ်း
Nyaung Pin	ညောင်ပင်
Myawaddy Min Gyi	မြဝတီမင်ကြီးလမ်း
U Tun	ဦးထွန်း
Set Hmu Zone (KaNaungMinTharGyi Road)	စက်မှုဇုန် (ကနောင်မင်းသားကြီးလမ်း)
U Mye	ဦးမြဲ
Gandamar HoSale (MyohHtal)	ဂန္ဓမာဟိုးဆေး(မြို့ထဲ)
Byamaso	ဗြဟ္မစိုရ်
Yadanar Lan (MyohHtal)	ရတနာလမ်း(မြို့ထဲ)
Yadanar Lan (MyohPyin)	ရတနာလမ်း(မြို့ပြင်)
Pyithaya	ပြည်သာယာ
Zay Kwae	စျေးကွေ့
Alote Thamar Say Yone	အလုပ်သမားဆေးရုံကြီး
Marine University	ရေကြောင်းတက္ကသိုလ်
Yay Kyaung Lan Sone	ရေကြောင်းလမ်းဆုံ
Phar Out	ဖားအောက်
Kyeik Kouk Phayar	ကျိုက်ခေါက်ဘုရား
Yangon International Airport Terminal 2	ရန်ကုန်လေဆိပ် တာမီနယ် (၂)
Phoe Sein Lan	ဖိုးစိန်လမ်း
Thama Kone Lan Sone	သမကုန်းလမ်းဆုံ
Tine Yin Tharr Nee Pyin Nyar	တိုင်းရင်းသားနည်းပညာသက္ကသိုလ်
Yadanar Lann	ရတနာလမ်း
Hnin Si Kone Phoe Phwar Yeik Thar	နှင်းဆီကုန်းဘိုးဘွားရိပ်သာ
Thel Phyu Yeik Thar	သဲဖြူရိပ်သာ
Shwe Li Road	ရွှေလီလမ်း
Thanghar University	သံဃာတက္ကသိုလ်
Parami Lan Sone	ပါရမီလမ်းဆုံ
Parami SeinGayHar	ပါရမီစိန်ဂေဟာ
Hantharwaddy Road	ဟံသာဝတီလမ်း
Thuwanna Stadium (MyohHtal)	သုဝဏ္ဏဘောလုံးကွင်း(မြို့ထဲ)
Thuwanna Stadium (MyohPyin)	သုဝဏ္ဏဘောလုံးကွင်း(မြို့ပြင်)
Okkan	ဥက္ကံ
Min Dhamma Eain Yar	မင်းဓမ္မအိမ်ယာ
Paduak Lan	ပိတောက်လမ်း
Yangon International Airport Terminal 1	ရန်ကုန်လေဆိပ် တာမီနယ် (၁)
Yangon International Airport Terminal 3	ရန်ကုန်လေဆိပ် တာမီနယ် (၃)
Yangon International Airport Car Parking	ရန်ကုန်လေဆိပ် ကားပါကင်
Yangon Central Railway Station	ရန်ကုန်ဘူတာကြီး
Yay Sin Lan	ရေဆင်းလမ်း
Hle Gu (Pyi Taw Thar)	လှည်းကူး(ပြည်တော်သာ)
University of Education	ပညာရေးကောလိပ်
Baw Di Pin	ဗောဓိပင်
